The following miRNA-target pairs, validated by luciferase reporter experiments, were extracted manually from the corresponding reference. A few target genes not documented here may be available in "TarBase" and "miRecords" database system.

miRNA	Validated target	Pub Date	Reference
hsa-miR-145	BNIP3	2010	MicroRNA145 targets BNIP3 and suppresses prostate cancer progression.
hsa-miR-146a	TRAF6	2009	MicroRNA-146a feedback inhibits RIG-I-dependent Type I IFN production in macrophages by targeting TRAF6, IRAK1, and IRAK2
hsa-miR-146a	IRAK1	2009	MicroRNA-146a feedback inhibits RIG-I-dependent Type I IFN production in macrophages by targeting TRAF6, IRAK1, and IRAK2
hsa-miR-146a	IRAK2	2009	MicroRNA-146a feedback inhibits RIG-I-dependent Type I IFN production in macrophages by targeting TRAF6, IRAK1, and IRAK2
hsa-miR-146a	CFH	2009	Characterization of an NF-kappaB-regulated, miRNA-146a-mediated down-regulation of complement factor H (CFH) in metal-sulfate-stressed human brain cells.
hsa-miR-146a	BRCA1	2008	A functional polymorphism in the miR-146a gene and age of familial breast/ovarian cancer diagnosis.
hsa-miR-146a	BRCA2	2008	A functional polymorphism in the miR-146a gene and age of familial breast/ovarian cancer diagnosis.
hsa-miR-146a	CFH	2008	An NF-kB-sensitive microRNA-146a-mediated inflammatory circuit in Alzheimer's disease and in stressed human brain cells.
hsa-miR-146a	NF-kappaB	2008	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
hsa-miR-146a	ROCK1	2008	Loss of mir-146a function in hormone-refractory prostate cancer.
hsa-miR-146a	IRAK1	2006	NF-kappaB-dependent induction of microRNA miR-146, an inhibitor targeted to signaling proteins of innate immune responses.
hsa-miR-146a	TRAF6	2006	NF-kappaB-dependent induction of microRNA miR-146, an inhibitor targeted to signaling proteins of innate immune responses.
hsa-miR-146a	KIT	2005	The role of microRNA genes in papillary thyroid carcinoma.
hsa-miR-146b	MMP16	2009	microRNA-146b inhibits glioma cell migration and invasion by targeting MMPs.
hsa-miR-146b	NF-kappaB	2008	Expression of microRNA-146 suppresses NF-kappaB activity with reduction of metastatic potential in breast cancer cells.
hsa-miR-148a	TGIF2	2008	A microRNA DNA methylation signature for human cancer metastasis
hsa-miR-148a	HLA-G	2007	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
hsa-miR-148a	DNMT-1	2010	MicroRNA-dependent regulation of DNA methyltransferase-1 and tumor suppressor gene expression by interleukin-6 in human malignant cholangiocytes.
hsa-miR-148b	HLA-G	2007	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
hsa-miR-15	c-myb	2009	Genome-wide microRNA expression profiling in renal cell carcinoma: significant down-regulation of miR-141 and miR-200c.
hsa-miR-150	P2X7	2008	MicroRNAs miR-186 and miR-150 down-regulate expression of the pro-apoptotic purinergic P2X7 receptor by activation of instability sites at the 3'-untranslated region of the gene that decrease steady-state levels of the transcript
hsa-miR-152	HLA-G	2007	Allele-specific targeting of microRNAs to HLA-G and risk of asthma.
hsa-miR-152	DNMT-1	2010	MicroRNA-dependent regulation of DNA methyltransferase-1 and tumor suppressor gene expression by interleukin-6 in human malignant cholangiocytes.
hsa-miR-153	Mcl-1	2009	Down-regulations of B-cell lymphoma 2 (Bcl-2) and myeloid cell leukemia sequence 1 (Mcl-1) by MicroRNA 153 induce apoptosis in a glioblastoma cell line DBTRG-05MG.
hsa-miR-153	BCL2	2009	Down-regulations of B-cell lymphoma 2 (Bcl-2) and myeloid cell leukemia sequence 1 (Mcl-1) by MicroRNA 153 induce apoptosis in a glioblastoma cell line DBTRG-05MG.
hsa-miR-155	SOCS1	2009	Foxp3-dependent microRNA155 confers competitive fitness to regulatory T cells by targeting SOCS1 protein
hsa-miR-155	SHIP1	2009	Inositol phosphatase SHIP1 is a primary target of miR-155
hsa-miR-155	TAB2	2009	MicroRNA-155 modulates the interleukin-1 signaling pathway in activated human monocyte-derived dendritic cells
hsa-miR-155	AGTR1	2008	Human microRNA-155 on chromosome 21 differentially interacts with its polymorphic target in the AGTR1 3' untranslated region: a mechanism for functional single-nucleotide polymorphisms related to phenotypes.
hsa-miR-155	Ets-1	2008	MicroRNA 155 modulates megakaryopoiesis at progenitor and precursor level by targeting Ets-1 and Meis1 transcription factors
hsa-miR-155	Meis1	2008	MicroRNA 155 modulates megakaryopoiesis at progenitor and precursor level by targeting Ets-1 and Meis1 transcription factors
hsa-miR-155	RhoA	2008	MicroRNA-155 Is Regulated by TGF{beta}/Smad Pathway and Contributes to Epithelial Cell Plasticity by Targeting RhoA
hsa-miR-155	RhoA	2008	MicroRNA-155 is regulated by the transforming growth factor beta/Smad pathway and contributes to epithelial cell plasticity by targeting RhoA.
hsa-miR-155	TP53INP1	2007	Tumor protein 53-induced nuclear protein 1 expression is repressed by miR-155, and its restoration inhibits pancreatic tumor development.
hsa-miR-155	hAT1R	2006	MicroRNA-155 regulates human angiotensin II type 1 receptor expression in fibroblasts.
hsa-miR-155	ET-1	2009	Ethanol-induced expression of ET-1 and ET-BR in liver sinusoidal endothelial cells and human endothelial cells involves hypoxia-inducible factor-1alpha and microrNA-199
hsa-miR-155	JARID2	2009	Reticuloendotheliosis virus strain T induces miR-155 which targets JARID2 and promotes cell survival
hsa-miR-155 	KGF	2009	Identification of keratinocyte growth factor as a target of microRNA-155 in lung fibroblasts: implication in epithelial-mesenchymal interactions
hsa-miR-15a	CCND1	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCND2	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCNE1	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCND1	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCND2	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCNE1	2009	miR-15a and miR-16 are implicated in cell cycle regulation in a Rb-dependent manner and are frequently deleted or down-regulated in non-small cell lung cancer.
hsa-miR-15a	CCND1	2009	miR-15a and miR-16 Are Implicated in Cell Cycle Regulation in a Rb-Dependent Manner and Are Frequently Deleted or Down-regulated in Non-Small Cell Lung Cancer.
hsa-miR-15a	Cdc25A	2008	MicroRNA15a modulates expression of the cell-cycle regulator Cdc25A and affects hepatic cystogenesis in a rat model of polycystic kidney disease.
hsa-miR-15a	Myb	2008	The c-myb Protooncogene and microRNA (miR)-15a comprise an active autoregulatory feedback loop in human hematopoietic cells
hsa-miR-15a	CCND1	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
hsa-miR-15a	WNT3A	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
hsa-miR-15a	BCL2	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-15a	RAS	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-15a	BCL2	2007	The role of microRNA and other non-coding RNA in the pathogenesis of chronic lymphocytic leukemia.
hsa-miR-15a	BCL2	2005	miR-15 and miR-16 induce apoptosis by targeting BCL2.
hsa-miR-15a	RAS	2005	miR-15a and miR-16-1 down-regulation in pituitary adenomas.
hsa-miR-15a	BMI1	2009	MiR-15a and MiR-16 control Bmi-1 expression in ovarian cancer.
hsa-miR-15b	CCNE1	2009	MicroRNA-15b regulates cell cycle progression by targeting cyclins in glioma cells.
hsa-miR-15b	BCL2	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-15b	caspases-3	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-15b	caspases-8	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-15b	caspases-9	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-15b	CCNE1	2009	miR-21 plays a pivotal role in gastric cancer pathogenesis and progression.
hsa-miR-15b	BCL2	2008	miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.
hsa-miR-15b	eIF-4A	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-16	BCL2	2009	Epigallocatechin gallate up-regulation of miR-16 and induction of apoptosis in human cancer cells.
hsa-miR-16	CCND1	2009	miR-15a and miR-16 Are Implicated in Cell Cycle Regulation in a Rb-Dependent Manner and Are Frequently Deleted or Down-regulated in Non-Small Cell Lung Cancer.
hsa-miR-16	BCL2	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-16	caspases-3	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-16	caspases-8	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-16	caspases-9	2009	miR-15b and miR-16 are implicated in activation of the rat hepatic stellate cell: An essential role for apoptosis
hsa-miR-16	Caprin-1	2009	Two new miR-16 targets: Caprin-1 and HMGA1, proteins implicated in cell proliferation
hsa-miR-16	HMGA1	2009	Two new miR-16 targets: Caprin-1 and HMGA1, proteins implicated in cell proliferation
hsa-miR-16	BCL2	2008	miR-15b and miR-16 modulate multidrug resistance by targeting BCL2 in human gastric cancer cells.
hsa-miR-16	CCND1	2008	miR-16 family induces cell cycle arrest by regulating multiple cell cycle genes
hsa-miR-16	CCND3	2008	miR-16 family induces cell cycle arrest by regulating multiple cell cycle genes
hsa-miR-16	CCNE1	2008	miR-16 family induces cell cycle arrest by regulating multiple cell cycle genes
hsa-miR-16	CDK6	2008	miR-16 family induces cell cycle arrest by regulating multiple cell cycle genes
hsa-miR-16	CCND1	2008	Truncation in CCND1 mRNA alters miR-16-1 regulation in mantle cell lymphoma.
hsa-miR-16	BCL2	2007	Abnormal microRNA-16 locus with synteny to human 13q14 linked to CLL in NZB mice.
hsa-miR-16	BCL2	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-16	RAS	2007	MicroRNA gene expression during retinoic acid-induced differentiation of human acute promyelocytic leukemia.
hsa-miR-16	BCL2	2007	The role of microRNA and other non-coding RNA in the pathogenesis of chronic lymphocytic leukemia.
hsa-miR-16	BCL2	2005	miR-15 and miR-16 induce apoptosis by targeting BCL2.
hsa-miR-16	RAS	2005	miR-15a and miR-16-1 down-regulation in pituitary adenomas.
hsa-miR-16	RARS	2002	Frequent deletions and down-regulation of micro-RNA genes miR15 and miR16 at 13q14 in chronic lymphocytic leukemia.
hsa-miR-16	CDK1	2009	Systemic Delivery of Synthetic MicroRNA-16 Inhibits the Growth of Metastatic Prostate Tumors via Downregulation of Multiple Cell-cycle Genes
hsa-miR-16	CDK2	2009	Systemic Delivery of Synthetic MicroRNA-16 Inhibits the Growth of Metastatic Prostate Tumors via Downregulation of Multiple Cell-cycle Genes
hsa-miR-16	BMI1	2009	MiR-15a and MiR-16 control Bmi-1 expression in ovarian cancer.
hsa-miR-16-1	CCND1	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
hsa-miR-16-1	WNT3A	2008	The miR-15a-miR-16-1 cluster controls prostate cancer by targeting multiple oncogenic activities.
hsa-miR-16a	BCL2	2008	Down-regulation of the microRNAs miR-34a, miR-127, and miR-200b in rat liver during hepatocarcinogenesis induced by a methyl-deficient diet.
hsa-miR-17	E2F1 	2009	miR-17 and miR-20a temper an E2F1-induced G1 checkpoint to regulate cell cycle progression
hsa-miR-17	CDKN1A	2008	MicroRNA-17-92 downregulates expression of distinct targets in different B-cell lymphoma subtypes.
hsa-miR-17	p21	2008	MicroRNA-17-92 downregulates expression of distinct targets in different B-cell lymphoma subtypes.
hsa-miR-17	YES1	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	RBJ	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	NPAT	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	FBX031	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	OBFC2A	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	GPR137B	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	CCL1	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	ZNFX1	2009	A high throughput experimental approach to identify miRNA targets in human cells
hsa-miR-17	PKD2 	2009	MicroRNA-17 post-transcriptionally regulates polycystic kidney disease-2 gene and promotes cell proliferation.
hsa-miR-17-3p	T¦ÂRII	2007	Synergistic action of the microRNA-17 polycistron and Myc in aggressive cancer development.
hsa-miR-17-3p	vimentin	2009	MicroRNA-17-3p is a prostate tumor suppressor in vitro and in vivo, and is decreased in high grade prostate tumors analyzed by laser capture microdissection
hsa-miR-17-5p	BMPR2	2009	Interleukin-6 modulates the expression of the bone morphogenic protein receptor type II through a novel STAT3-microRNA cluster 17/92 pathway.
hsa-miR-17-5p	CCND1	2008	A cyclin D1/microRNA 17/20 regulatory feedback loop in control of breast cancer cell proliferation.
hsa-miR-17-5p	BIM	2008	Antagomir-17-5p abolishes the growth of therapy-resistant neuroblastoma through p21 and BIM
hsa-miR-17-5p	p21	2008	Antagomir-17-5p abolishes the growth of therapy-resistant neuroblastoma through p21 and BIM
hsa-miR-17-5p	E2F1	2008	Deregulated expression of miR-106a predicts survival in human colon cancer patients.
hsa-miR-17-5p	PTPRO	2008	Protein tyrosine phosphatase receptor-type O (PTPRO) is co-regulated by E2F1 and miR-17-92.
hsa-miR-17-5p	T¦ÂRII	2007	Synergistic action of the microRNA-17 polycistron and Myc in aggressive cancer development.
hsa-miR-17-5p	AIB1	2006	Mir-17-5p regulates breast cancer cell proliferation by inhibiting translation of AIB1 mRNA.
hsa-miR-18	CTGF	2006	Comprehensive analysis of microRNA expression patterns in hepatocellular carcinoma and non-tumorous tissues.
hsa-miR-18	RANKL	2006	Comprehensive analysis of microRNA expression patterns in hepatocellular carcinoma and non-tumorous tissues.
hsa-miR-181a	CDX2	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181a	GATA6	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181a	NLK	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181a	PLAG1	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-181a	BDNF	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-miR-181a	D3R	2009	microRNAs miR-124, let-7d and miR-181a regulate Cocaine-induced Plasticity
hsa-miR-181a	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-181b	CDX2	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181b	GATA6	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181b	NLK	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181b	PLAG1	2009	miRNA deregulation by epigenetic silencing disrupts suppression of the oncogene PLAG1 in chronic lymphocytic leukemia.
hsa-miR-181b	PCAF	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-181b	AID	2008	miR-181b negatively regulates activation-induced cytidine deaminase in B cells
hsa-miR-181b	Tcl1	2006	Tcl1 expression in chronic lymphocytic leukemia is regulated by miR-29 and miR-181.
hsa-miR-181c	CDX2	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181c	GATA6	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-181c	NLK	2009	Identification of microRNA-181 by genome-wide screening as a critical player in EpCAM-positive hepatic cancer stem cells.
hsa-miR-182	FOXO1	2009	Coordinate Regulation of FOXO1 by miR-27a, miR-96, and miR-182 in Breast Cancer Cells.
hsa-miR-183	Ezrin	2008	MicroRNA-183 regulates Ezrin expression in lung cancer cells.
hsa-miR-184	NFAT1	2009	MicroRNA 184 regulates expression of NFAT1 in umbilical cord blood CD4+ T-cells
hsa-miR-186	P2X7	2008	MicroRNAs miR-186 and miR-150 down-regulate expression of the pro-apoptotic purinergic P2X7 receptor by activation of instability sites at the 3'-untranslated region of the gene that decrease steady-state levels of the transcript
hsa-miR-189	SLITRK1	2008	Sequence variants in SLITRK1 are associated with Tourette's syndrome.
hsa-miR-18a*	KRAS	2009	The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras
hsa-miR-18a*	KRAS	2009	The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras.
hsa-miR-19	ATXN1	2008	miR-19, miR-101 and miR-130 co-regulate ATXN1 levels to potentially modulate SCA1 pathogenesis.
hsa-miR-192	CDKN1A/p21	2009	MicroRNA alterations in head and neck squamous cell carcinoma.
hsa-miR-192	MIP-2 alpha	2008	MicroRNAs are differentially expressed in ulcerative colitis and alter expression of macrophage inflammatory peptide-2 alpha.
hsa-miR-193a	E2F6	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-193b	CCND1	2010	MicroRNA-193b represses cell proliferation and regulates cyclin D1 in melanoma.
hsa-miR-195	CCND1	2009	MicroRNA-195 suppresses tumorigenicity and regulates G(1)/S transition of human hepatocellular carcinoma cells.
hsa-miR-195	CDK6	2009	MicroRNA-195 suppresses tumorigenicity and regulates G(1)/S transition of human hepatocellular carcinoma cells.
hsa-miR-195	E2F3	2009	MicroRNA-195 suppresses tumorigenicity and regulates G(1)/S transition of human hepatocellular carcinoma cells.
hsa-miR-195	WEE1	2009	microRNAs regulate human embryonic stem cell division
hsa-miR-196a	KRT5	2009	MicroRNA-196a is a Potential Marker of Progression during Barrett's Metaplasia-Dysplasia-Invasive Adenocarcinoma Sequence in Esophagus.
hsa-miR-196a	S100A9	2009	MicroRNA-196a is a Potential Marker of Progression during Barrett's Metaplasia-Dysplasia-Invasive Adenocarcinoma Sequence in Esophagus.
hsa-miR-196a	SPRR2C	2009	MicroRNA-196a is a Potential Marker of Progression during Barrett's Metaplasia-Dysplasia-Invasive Adenocarcinoma Sequence in Esophagus.
hsa-miR-196a	HOXC8	2009	miR-196a Regulates Proliferation and Osteogenic Differentiation in Mesenchymal Stem Cells Derived From Human Adipose Tissue
hsa-miR-196a	ANXA1	2008	MicroRNA-196a targets annexin A1: a microRNA-mediated mechanism of annexin A1 downregulation in cancers.
hsa-miR-196a	BMP4	2010	MicroRNA miR-196a is a central regulator of HOX-B7 and BMP4 expression in malignant melanoma.
hsa-miR-196a-2	HOXB8	2009	Functional variant in microRNA-196a2 contributes to the susceptibility of congenital heart disease in a Chinese population.
hsa-miR-197	FUS1	2009	miR-93, miR-98, and miR-197 regulate expression of tumor suppressor gene FUS1.
hsa-miR-197	ACVR1	2006	A limited set of human MicroRNA is deregulated in follicular thyroid carcinoma.
hsa-miR-197	TSPAN3	2006	A limited set of human MicroRNA is deregulated in follicular thyroid carcinoma.
hsa-miR-199	ET-1	2009	Ethanol-induced expression of ET-1 and ET-BR in liver sinusoidal endothelial cells and human endothelial cells involves hypoxia-inducible factor-1alpha and microrNA-199
hsa-miR-199a	IKK-beta	2008	Regulation of IKKbeta by miR-199a affects NF-kappaB activity in ovarian cancer cells.
hsa-miR-199a*	Smad1	2009	miR-199a*, a bone morphogenic protein 2 responsive microRNA, regulates chondrogenesis via direct targeting to Smad1
hsa-miR-199a*	ERK2	2008	MicroRNA miR-199a* regulates the MET proto-oncogene and the downstream extracellular signal-regulated kinase 2 (ERK2).
hsa-miR-199a*	MET	2008	MicroRNA miR-199a* regulates the MET proto-oncogene and the downstream extracellular signal-regulated kinase 2 (ERK2).
hsa-miR-199b	SET	2010	Decreased expression of microRNA-199b increases protein levels of SET (protein phosphatase 2A inhibitor) in human choriocarcinoma.
hsa-miR-199b-5p	HES1	2009	MicroRNA-199b-5p impairs cancer stem cells through negative regulation of HES1 in medulloblastoma.
hsa-miR-19a	PTEN	2008	Differential expression of PTEN-targeting microRNAs miR-19a and miR-21 in Cowden syndrome.
hsa-miR-19a	BIM	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-19a	SOCS-1	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-19b	BIM	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
hsa-miR-19b	SOCS-1	2008	MicroRNAs regulate critical genes associated with multiple myeloma pathogenesis.
